Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Cases_per_1Mpop,Deaths_per_1Mpop,Total Tests,Tests_per_1Mpop,Continent,CountryCode,Avg_LockdownSeverity,Score,Quality_Life,GDP_2018,Obesity,Elder,Social support,Freedom,Corruption,Generosity,Health
Laos,19,0,0,0,4,15,0,3,0,1461,201,Asia,LAO,64.1378125,4.796,39.070422535211264,1789.1,5.3,9.8300171986422,120.0,22.0,27.0,34.0,112.0
Libya,59,0,1,0,15,43,0,9,0,891,130,Africa,LBY,45.037682000000004,5.525,39.070422535211264,7529.0,32.5,4.392040259,73.0,79.0,31.0,87.0,96.0
Madagascar,121,0,0,0,52,69,1,4,0,2357,85,Africa,MDG,83.55030297,3.9330000000000003,39.070422535211264,432.7,5.3,2.9867171260000003,128.0,146.0,116.0,136.0,111.0
Malawi,23,5,3,1,3,17,1,1,0,519,27,Africa,MWI,43.37456535,3.41,39.070422535211264,516.8,5.8,2.64543493,150.0,65.0,64.0,109.0,119.0
Mozambique,41,2,0,0,8,33,0,1,0,1247,40,Africa,MOZ,50.45576991,4.466,39.070422535211264,539.2,7.2,2.890764457,122.0,46.0,40.0,121.0,134.0
Mongolia,35,1,0,0,8,27,0,11,0,7130,2175,Asia,MNG,57.59415036,5.285,39.070422535211264,4197.8,20.6,4.083538787,10.0,112.0,119.0,38.0,97.0
Mauritania,7,0,1,0,6,0,0,2,0,969,208,Africa,MRT,28.15637658,4.49,39.070422535211264,1349.4,12.7,3.1411121580000003,99.0,151.0,67.0,148.0,120.0
Namibia,16,0,0,0,6,10,0,6,0,524,206,Africa,NAM,42.08232478,4.638999999999999,39.070422535211264,6073.2,17.2,3.6360316810000004,70.0,82.0,98.0,142.0,122.0
Netherlands,34842,708,4054,138,102,30538,1050,2033,237,171415,10004,Europe,NLD,66.87441063,7.4879999999999995,8.0,55041.1,20.4,19.19619263,15.0,19.0,12.0,7.0,18.0
New Zealand,1451,6,14,1,1036,401,2,301,3,94797,19658,Australia/Oceania,NZL,47.11266659,7.307,9.0,38000.7,30.8,15.65242453,5.0,8.0,5.0,8.0,14.0
Nicaragua,10,0,2,0,7,1,0,2,0,0,0,North America,NIC,11.36113174,6.105,39.070422535211264,1860.43,23.7,5.247497448,66.0,70.0,43.0,71.0,53.0
Niger,662,5,22,2,193,447,0,27,1,4832,200,Africa,NER,54.61468637,4.628,39.070422535211264,398.5,5.5,2.595007883,140.0,111.0,51.0,135.0,138.0
Nigeria,782,0,25,0,197,560,2,4,0,8003,39,Africa,NGA,40.18922965,5.265,74.0,2396.3,8.9,2.747377005,111.0,75.0,114.0,59.0,145.0
Norway,7275,34,187,5,32,7056,54,1342,34,148656,27421,Europe,NOR,48.08402425,7.553999999999999,4.0,92121.4,23.1,17.04922216,3.0,3.0,8.0,11.0,12.0
Pakistan,10076,511,212,11,2156,7708,58,46,1,118020,534,Asia,PAK,61.75781222,5.653,73.0,1196.6,8.6,4.312774311,130.0,114.0,55.0,58.0,114.0
Panama,4821,163,141,5,231,4449,94,1117,33,21902,5076,North America,PAN,44.73774675,6.321000000000001,70.0,11723.93,22.7,8.10473108,41.0,32.0,104.0,88.0,33.0
Paraguay,213,5,9,1,62,142,1,30,1,6292,882,South America,PRY,46.05294038,5.742999999999999,39.070422535211264,5394.46,20.3,6.430215008999999,30.0,34.0,76.0,67.0,81.0
Peru,19250,1413,530,46,7027,11693,396,584,16,170400,5168,South America,PER,70.42953338,5.697,52.0,6453.92,19.7,8.088392792,77.0,61.0,132.0,126.0,47.0
